"Name","Total Time","Total Time (CPU)","Invocations"
"main","41,5 ms (-0 %)","35,1 ms (-0 %)","101"
" profiler.profilerTest.main (String[])","41,5 ms (-0 %)","35,1 ms (-0 %)","1"
" profiler.profilerTest.run ()","41,3 ms (-0 %)","35,0 ms (-0 %)","1"
"  profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" prompt.CommandPrompt.<init> (file_system_adapter.FileSystemAdapter)","19,4 ms (-0 %)","19,3 ms (-0 %)","1"
"  profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"   profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" profiler.profilerTest.exec (String)","4,41 ms (-0 %)","4,31 ms (-0 %)","9"
"  profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"   profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" prompt.CommandPrompt.command (String)","3,58 ms (-0 %)","3,47 ms (-0 %)","9"
"  profiler.profilerTest.exec (String)","0,829 ms (-0 %)","0,832 ms (-0 %)","9"
"   profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"    profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" prompt.CommandPrompt.initialize ()","3,11 ms (-0 %)","3,7 ms (-0 %)","1"
"  prompt.CommandPrompt.<init> (file_system_adapter.FileSystemAdapter)","16,2 ms (-0 %)","16,1 ms (-0 %)","1"
"   profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"    profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" prompt.command.Command.execute (prompt.util.PathContainer, String, String)","2,57 ms (-0 %)","2,48 ms (-0 %)","9"
"  prompt.CommandPrompt.command (String)","1,0 ms (-0 %)","0,997 ms (-0 %)","9"
"   profiler.profilerTest.exec (String)","0,829 ms (-0 %)","0,832 ms (-0 %)","9"
"    profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"     profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" file_system_adapter.FakeFileSystemAdapter.<init> ()","0,916 ms (-0 %)","0,786 ms (-0 %)","1"
"  profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"   profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" prompt.CommandPrompt.addCommand (prompt.command.Command)","0,880 ms (-0 %)","0,421 ms (-0 %)","12"
"  prompt.CommandPrompt.initialize ()","1,95 ms (-0 %)","2,37 ms (-0 %)","1"
"   prompt.CommandPrompt.<init> (file_system_adapter.FileSystemAdapter)","16,2 ms (-0 %)","16,1 ms (-0 %)","1"
"    profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"     profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" prompt.command.History.doCommand (prompt.util.PathContainer, String)","0,424 ms (-0 %)","0,424 ms (-0 %)","1"
"  prompt.command.Command.execute (prompt.util.PathContainer, String, String)","0,325 ms (-0 %)","0,282 ms (-0 %)","9"
"   prompt.CommandPrompt.command (String)","1,0 ms (-0 %)","0,997 ms (-0 %)","9"
"    profiler.profilerTest.exec (String)","0,829 ms (-0 %)","0,832 ms (-0 %)","9"
"     profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"      profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" prompt.command.Cp.doCommand (prompt.util.PathContainer, String)","0,329 ms (-0 %)","0,280 ms (-0 %)","1"
"  prompt.command.Command.execute (prompt.util.PathContainer, String, String)","0,325 ms (-0 %)","0,282 ms (-0 %)","9"
"   prompt.CommandPrompt.command (String)","1,0 ms (-0 %)","0,997 ms (-0 %)","9"
"    profiler.profilerTest.exec (String)","0,829 ms (-0 %)","0,832 ms (-0 %)","9"
"     profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"      profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" prompt.command.Touch.doCommand (prompt.util.PathContainer, String)","0,292 ms (-0 %)","0,291 ms (-0 %)","1"
"  prompt.command.Command.execute (prompt.util.PathContainer, String, String)","0,325 ms (-0 %)","0,282 ms (-0 %)","9"
"   prompt.CommandPrompt.command (String)","1,0 ms (-0 %)","0,997 ms (-0 %)","9"
"    profiler.profilerTest.exec (String)","0,829 ms (-0 %)","0,832 ms (-0 %)","9"
"     profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"      profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" prompt.command.Ls.doCommand (prompt.util.PathContainer, String)","0,273 ms (-0 %)","0,274 ms (-0 %)","1"
"  prompt.command.Command.execute (prompt.util.PathContainer, String, String)","0,325 ms (-0 %)","0,282 ms (-0 %)","9"
"   prompt.CommandPrompt.command (String)","1,0 ms (-0 %)","0,997 ms (-0 %)","9"
"    profiler.profilerTest.exec (String)","0,829 ms (-0 %)","0,832 ms (-0 %)","9"
"     profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"      profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" prompt.command.Append.doCommand (prompt.util.PathContainer, String)","0,255 ms (-0 %)","0,246 ms (-0 %)","1"
"  prompt.command.Command.execute (prompt.util.PathContainer, String, String)","0,325 ms (-0 %)","0,282 ms (-0 %)","9"
"   prompt.CommandPrompt.command (String)","1,0 ms (-0 %)","0,997 ms (-0 %)","9"
"    profiler.profilerTest.exec (String)","0,829 ms (-0 %)","0,832 ms (-0 %)","9"
"     profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"      profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" file_system_adapter.fake_FSO.FakeDirectory.<init> (String)","0,157 ms (-0 %)","0,156 ms (-0 %)","1"
"  file_system_adapter.FakeFileSystemAdapter.<init> ()","0,759 ms (-0 %)","0,629 ms (-0 %)","1"
"   profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"    profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" prompt.command.Mkdir.doCommand (prompt.util.PathContainer, String)","0,156 ms (-0 %)","0,156 ms (-0 %)","1"
"  prompt.command.Command.execute (prompt.util.PathContainer, String, String)","0,325 ms (-0 %)","0,282 ms (-0 %)","9"
"   prompt.CommandPrompt.command (String)","1,0 ms (-0 %)","0,997 ms (-0 %)","9"
"    profiler.profilerTest.exec (String)","0,829 ms (-0 %)","0,832 ms (-0 %)","9"
"     profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"      profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" prompt.command.RepeatFromHistory.doCommand (prompt.util.PathContainer, String)","0,132 ms (-0 %)","0,133 ms (-0 %)","1"
"  prompt.command.Command.execute (prompt.util.PathContainer, String, String)","0,325 ms (-0 %)","0,282 ms (-0 %)","9"
"   prompt.CommandPrompt.command (String)","1,0 ms (-0 %)","0,997 ms (-0 %)","9"
"    profiler.profilerTest.exec (String)","0,829 ms (-0 %)","0,832 ms (-0 %)","9"
"     profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"      profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" prompt.command.Cat.doCommand (prompt.util.PathContainer, String)","0,126 ms (-0 %)","0,127 ms (-0 %)","1"
"  prompt.command.Command.execute (prompt.util.PathContainer, String, String)","0,325 ms (-0 %)","0,282 ms (-0 %)","9"
"   prompt.CommandPrompt.command (String)","1,0 ms (-0 %)","0,997 ms (-0 %)","9"
"    profiler.profilerTest.exec (String)","0,829 ms (-0 %)","0,832 ms (-0 %)","9"
"     profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"      profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" prompt.command.Cd.doCommand (prompt.util.PathContainer, String)","0,121 ms (-0 %)","0,122 ms (-0 %)","1"
"  prompt.command.Command.execute (prompt.util.PathContainer, String, String)","0,325 ms (-0 %)","0,282 ms (-0 %)","9"
"   prompt.CommandPrompt.command (String)","1,0 ms (-0 %)","0,997 ms (-0 %)","9"
"    profiler.profilerTest.exec (String)","0,829 ms (-0 %)","0,832 ms (-0 %)","9"
"     profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"      profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" prompt.command.Command.addToHistory (String)","0,100 ms (-0 %)","0,101 ms (-0 %)","8"
"  prompt.command.Command.execute (prompt.util.PathContainer, String, String)","0,325 ms (-0 %)","0,282 ms (-0 %)","9"
"   prompt.CommandPrompt.command (String)","1,0 ms (-0 %)","0,997 ms (-0 %)","9"
"    profiler.profilerTest.exec (String)","0,829 ms (-0 %)","0,832 ms (-0 %)","9"
"     profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"      profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" profiler.profilerTest.<init> ()","0,090 ms (-0 %)","0,035 ms (-0 %)","1"
"  profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" prompt.command.Command.<clinit> ()","0,084 ms (-0 %)","0,084 ms (-0 %)","1"
"  prompt.CommandPrompt.<init> (file_system_adapter.FileSystemAdapter)","16,2 ms (-0 %)","16,1 ms (-0 %)","1"
"   profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"    profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" prompt.command.History.<init> (prompt.CommandPrompt)","0,057 ms (-0 %)","0,057 ms (-0 %)","1"
"  prompt.CommandPrompt.initialize ()","1,95 ms (-0 %)","2,37 ms (-0 %)","1"
"   prompt.CommandPrompt.<init> (file_system_adapter.FileSystemAdapter)","16,2 ms (-0 %)","16,1 ms (-0 %)","1"
"    profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"     profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" prompt.command.Append.<init> (prompt.CommandPrompt)","0,036 ms (-0 %)","0,035 ms (-0 %)","1"
"  prompt.CommandPrompt.initialize ()","1,95 ms (-0 %)","2,37 ms (-0 %)","1"
"   prompt.CommandPrompt.<init> (file_system_adapter.FileSystemAdapter)","16,2 ms (-0 %)","16,1 ms (-0 %)","1"
"    profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"     profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" prompt.command.Command.shouldBeAddedToHistory ()","0,033 ms (-0 %)","0,032 ms (-0 %)","8"
"  prompt.command.Command.execute (prompt.util.PathContainer, String, String)","0,325 ms (-0 %)","0,282 ms (-0 %)","9"
"   prompt.CommandPrompt.command (String)","1,0 ms (-0 %)","0,997 ms (-0 %)","9"
"    profiler.profilerTest.exec (String)","0,829 ms (-0 %)","0,832 ms (-0 %)","9"
"     profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"      profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" prompt.command.Command.<init> (prompt.CommandPrompt, String)","0,031 ms (-0 %)","0,030 ms (-0 %)","12"
"  prompt.command.Append.<init> (prompt.CommandPrompt)","0,013 ms (-0 %)","0,013 ms (-0 %)","1"
"   prompt.command.Append.<init> (prompt.CommandPrompt)","0,023 ms (-0 %)","0,021 ms (-0 %)","1"
"    prompt.CommandPrompt.initialize ()","1,95 ms (-0 %)","2,37 ms (-0 %)","1"
"     prompt.CommandPrompt.<init> (file_system_adapter.FileSystemAdapter)","16,2 ms (-0 %)","16,1 ms (-0 %)","1"
"      profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"       profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
"  prompt.command.History.<init> (prompt.CommandPrompt)","0,005 ms (-0 %)","0,004 ms (-0 %)","1"
"   prompt.command.History.<init> (prompt.CommandPrompt)","0,052 ms (-0 %)","0,053 ms (-0 %)","1"
"    prompt.CommandPrompt.initialize ()","1,95 ms (-0 %)","2,37 ms (-0 %)","1"
"     prompt.CommandPrompt.<init> (file_system_adapter.FileSystemAdapter)","16,2 ms (-0 %)","16,1 ms (-0 %)","1"
"      profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"       profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
"  prompt.command.Mkdir.<init> (prompt.CommandPrompt)","0,002 ms (-0 %)","0,002 ms (-0 %)","1"
"   prompt.command.Mkdir.<init> (prompt.CommandPrompt)","0,021 ms (-0 %)","0,021 ms (-0 %)","1"
"    prompt.CommandPrompt.initialize ()","1,95 ms (-0 %)","2,37 ms (-0 %)","1"
"     prompt.CommandPrompt.<init> (file_system_adapter.FileSystemAdapter)","16,2 ms (-0 %)","16,1 ms (-0 %)","1"
"      profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"       profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
"  prompt.command.Pwd.<init> (prompt.CommandPrompt)","0,002 ms (-0 %)","0,002 ms (-0 %)","1"
"   prompt.command.Pwd.<init> (prompt.CommandPrompt)","0,022 ms (-0 %)","0,022 ms (-0 %)","1"
"    prompt.CommandPrompt.initialize ()","1,95 ms (-0 %)","2,37 ms (-0 %)","1"
"     prompt.CommandPrompt.<init> (file_system_adapter.FileSystemAdapter)","16,2 ms (-0 %)","16,1 ms (-0 %)","1"
"      profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"       profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
"  prompt.command.Touch.<init> (prompt.CommandPrompt)","0,002 ms (-0 %)","0,002 ms (-0 %)","1"
"   prompt.command.Touch.<init> (prompt.CommandPrompt)","0,016 ms (-0 %)","0,016 ms (-0 %)","1"
"    prompt.CommandPrompt.initialize ()","1,95 ms (-0 %)","2,37 ms (-0 %)","1"
"     prompt.CommandPrompt.<init> (file_system_adapter.FileSystemAdapter)","16,2 ms (-0 %)","16,1 ms (-0 %)","1"
"      profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"       profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
"  prompt.command.Cat.<init> (prompt.CommandPrompt)","0,001 ms (-0 %)","0,001 ms (-0 %)","1"
"   prompt.command.Cat.<init> (prompt.CommandPrompt)","0,012 ms (-0 %)","0,012 ms (-0 %)","1"
"    prompt.CommandPrompt.initialize ()","1,95 ms (-0 %)","2,37 ms (-0 %)","1"
"     prompt.CommandPrompt.<init> (file_system_adapter.FileSystemAdapter)","16,2 ms (-0 %)","16,1 ms (-0 %)","1"
"      profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"       profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
"  prompt.command.Cd.<init> (prompt.CommandPrompt)","0,001 ms (-0 %)","0,001 ms (-0 %)","1"
"   prompt.command.Cd.<init> (prompt.CommandPrompt)","0,012 ms (-0 %)","0,012 ms (-0 %)","1"
"    prompt.CommandPrompt.initialize ()","1,95 ms (-0 %)","2,37 ms (-0 %)","1"
"     prompt.CommandPrompt.<init> (file_system_adapter.FileSystemAdapter)","16,2 ms (-0 %)","16,1 ms (-0 %)","1"
"      profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"       profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
"  prompt.command.Cp.<init> (prompt.CommandPrompt)","0,001 ms (-0 %)","0,001 ms (-0 %)","1"
"   prompt.command.Cp.<init> (prompt.CommandPrompt)","0,012 ms (-0 %)","0,012 ms (-0 %)","1"
"    prompt.CommandPrompt.initialize ()","1,95 ms (-0 %)","2,37 ms (-0 %)","1"
"     prompt.CommandPrompt.<init> (file_system_adapter.FileSystemAdapter)","16,2 ms (-0 %)","16,1 ms (-0 %)","1"
"      profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"       profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
"  prompt.command.Ls.<init> (prompt.CommandPrompt)","0,001 ms (-0 %)","0,001 ms (-0 %)","1"
"   prompt.command.Ls.<init> (prompt.CommandPrompt)","0,015 ms (-0 %)","0,015 ms (-0 %)","1"
"    prompt.CommandPrompt.initialize ()","1,95 ms (-0 %)","2,37 ms (-0 %)","1"
"     prompt.CommandPrompt.<init> (file_system_adapter.FileSystemAdapter)","16,2 ms (-0 %)","16,1 ms (-0 %)","1"
"      profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"       profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
"  prompt.command.Mkdirs.<init> (prompt.CommandPrompt)","0,001 ms (-0 %)","0,001 ms (-0 %)","1"
"   prompt.command.Mkdirs.<init> (prompt.CommandPrompt)","0,015 ms (-0 %)","0,015 ms (-0 %)","1"
"    prompt.CommandPrompt.initialize ()","1,95 ms (-0 %)","2,37 ms (-0 %)","1"
"     prompt.CommandPrompt.<init> (file_system_adapter.FileSystemAdapter)","16,2 ms (-0 %)","16,1 ms (-0 %)","1"
"      profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"       profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
"  prompt.command.RepeatFromHistory.<init> (prompt.CommandPrompt)","0,001 ms (-0 %)","0,001 ms (-0 %)","1"
"   prompt.command.RepeatFromHistory.<init> (prompt.CommandPrompt)","0,015 ms (-0 %)","0,015 ms (-0 %)","1"
"    prompt.CommandPrompt.initialize ()","1,95 ms (-0 %)","2,37 ms (-0 %)","1"
"     prompt.CommandPrompt.<init> (file_system_adapter.FileSystemAdapter)","16,2 ms (-0 %)","16,1 ms (-0 %)","1"
"      profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"       profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
"  prompt.command.RepeatLast.<init> (prompt.CommandPrompt)","0,001 ms (-0 %)","0,001 ms (-0 %)","1"
"   prompt.command.RepeatLast.<init> (prompt.CommandPrompt)","0,013 ms (-0 %)","0,013 ms (-0 %)","1"
"    prompt.CommandPrompt.initialize ()","1,95 ms (-0 %)","2,37 ms (-0 %)","1"
"     prompt.CommandPrompt.<init> (file_system_adapter.FileSystemAdapter)","16,2 ms (-0 %)","16,1 ms (-0 %)","1"
"      profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"       profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" prompt.command.Pwd.<init> (prompt.CommandPrompt)","0,024 ms (-0 %)","0,024 ms (-0 %)","1"
"  prompt.CommandPrompt.initialize ()","1,95 ms (-0 %)","2,37 ms (-0 %)","1"
"   prompt.CommandPrompt.<init> (file_system_adapter.FileSystemAdapter)","16,2 ms (-0 %)","16,1 ms (-0 %)","1"
"    profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"     profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" prompt.command.Mkdir.<init> (prompt.CommandPrompt)","0,023 ms (-0 %)","0,023 ms (-0 %)","1"
"  prompt.CommandPrompt.initialize ()","1,95 ms (-0 %)","2,37 ms (-0 %)","1"
"   prompt.CommandPrompt.<init> (file_system_adapter.FileSystemAdapter)","16,2 ms (-0 %)","16,1 ms (-0 %)","1"
"    profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"     profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" prompt.util.PathContainer.<init> (String)","0,019 ms (-0 %)","0,019 ms (-0 %)","1"
"  prompt.CommandPrompt.<init> (file_system_adapter.FileSystemAdapter)","16,2 ms (-0 %)","16,1 ms (-0 %)","1"
"   profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"    profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" prompt.command.Touch.<init> (prompt.CommandPrompt)","0,019 ms (-0 %)","0,018 ms (-0 %)","1"
"  prompt.CommandPrompt.initialize ()","1,95 ms (-0 %)","2,37 ms (-0 %)","1"
"   prompt.CommandPrompt.<init> (file_system_adapter.FileSystemAdapter)","16,2 ms (-0 %)","16,1 ms (-0 %)","1"
"    profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"     profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" prompt.command.Mkdirs.<init> (prompt.CommandPrompt)","0,017 ms (-0 %)","0,017 ms (-0 %)","1"
"  prompt.CommandPrompt.initialize ()","1,95 ms (-0 %)","2,37 ms (-0 %)","1"
"   prompt.CommandPrompt.<init> (file_system_adapter.FileSystemAdapter)","16,2 ms (-0 %)","16,1 ms (-0 %)","1"
"    profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"     profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" prompt.command.Ls.<init> (prompt.CommandPrompt)","0,016 ms (-0 %)","0,016 ms (-0 %)","1"
"  prompt.CommandPrompt.initialize ()","1,95 ms (-0 %)","2,37 ms (-0 %)","1"
"   prompt.CommandPrompt.<init> (file_system_adapter.FileSystemAdapter)","16,2 ms (-0 %)","16,1 ms (-0 %)","1"
"    profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"     profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" prompt.command.RepeatFromHistory.<init> (prompt.CommandPrompt)","0,016 ms (-0 %)","0,016 ms (-0 %)","1"
"  prompt.CommandPrompt.initialize ()","1,95 ms (-0 %)","2,37 ms (-0 %)","1"
"   prompt.CommandPrompt.<init> (file_system_adapter.FileSystemAdapter)","16,2 ms (-0 %)","16,1 ms (-0 %)","1"
"    profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"     profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" prompt.command.RepeatLast.<init> (prompt.CommandPrompt)","0,015 ms (-0 %)","0,015 ms (-0 %)","1"
"  prompt.CommandPrompt.initialize ()","1,95 ms (-0 %)","2,37 ms (-0 %)","1"
"   prompt.CommandPrompt.<init> (file_system_adapter.FileSystemAdapter)","16,2 ms (-0 %)","16,1 ms (-0 %)","1"
"    profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"     profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" prompt.command.Cd.<init> (prompt.CommandPrompt)","0,014 ms (-0 %)","0,014 ms (-0 %)","1"
"  prompt.CommandPrompt.initialize ()","1,95 ms (-0 %)","2,37 ms (-0 %)","1"
"   prompt.CommandPrompt.<init> (file_system_adapter.FileSystemAdapter)","16,2 ms (-0 %)","16,1 ms (-0 %)","1"
"    profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"     profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" prompt.command.Cp.<init> (prompt.CommandPrompt)","0,014 ms (-0 %)","0,014 ms (-0 %)","1"
"  prompt.CommandPrompt.initialize ()","1,95 ms (-0 %)","2,37 ms (-0 %)","1"
"   prompt.CommandPrompt.<init> (file_system_adapter.FileSystemAdapter)","16,2 ms (-0 %)","16,1 ms (-0 %)","1"
"    profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"     profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" prompt.command.Cat.<init> (prompt.CommandPrompt)","0,013 ms (-0 %)","0,013 ms (-0 %)","1"
"  prompt.CommandPrompt.initialize ()","1,95 ms (-0 %)","2,37 ms (-0 %)","1"
"   prompt.CommandPrompt.<init> (file_system_adapter.FileSystemAdapter)","16,2 ms (-0 %)","16,1 ms (-0 %)","1"
"    profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"     profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" file_system_adapter.fake_FSO.FakeFSO.<init> (String)","0,010 ms (-0 %)","0,010 ms (-0 %)","1"
"  file_system_adapter.fake_FSO.FakeDirectory.<init> (String)","0,146 ms (-0 %)","0,146 ms (-0 %)","1"
"   file_system_adapter.FakeFileSystemAdapter.<init> ()","0,759 ms (-0 %)","0,629 ms (-0 %)","1"
"    profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"     profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" file_system_adapter.FakeFileSystemAdapter.rootDirectory ()","0,009 ms (-0 %)","0,009 ms (-0 %)","1"
"  prompt.CommandPrompt.initialize ()","1,95 ms (-0 %)","2,37 ms (-0 %)","1"
"   prompt.CommandPrompt.<init> (file_system_adapter.FileSystemAdapter)","16,2 ms (-0 %)","16,1 ms (-0 %)","1"
"    profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"     profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" prompt.command.RepeatFromHistory.shouldBeAddedToHistory ()","0,007 ms (-0 %)","0,007 ms (-0 %)","1"
"  prompt.command.Command.execute (prompt.util.PathContainer, String, String)","0,325 ms (-0 %)","0,282 ms (-0 %)","9"
"   prompt.CommandPrompt.command (String)","1,0 ms (-0 %)","0,997 ms (-0 %)","9"
"    profiler.profilerTest.exec (String)","0,829 ms (-0 %)","0,832 ms (-0 %)","9"
"     profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"      profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
" prompt.command.Command.setAdapter (file_system_adapter.FileSystemAdapter)","0,003 ms (-0 %)","0,003 ms (-0 %)","1"
"  prompt.CommandPrompt.<init> (file_system_adapter.FileSystemAdapter)","16,2 ms (-0 %)","16,1 ms (-0 %)","1"
"   profiler.profilerTest.run ()","16,5 ms (-0 %)","10,6 ms (-0 %)","1"
"    profiler.profilerTest.main (String[])","0,054 ms (-0 %)","0,043 ms (-0 %)","1"
